objectid;id;type;volume;quantite;marque;date_instal;adresse;adresse_comp;code_insee;observations;creation;date_creation;modification;date_modification;globalid;etat;_x;_y
2002;;Bac aérien avec cache bac;660 L;1;Plastic Omnium;;Gare tsm;;06138;;chpayet;20191204083917;chpayet;20191204083917;{5C455C7F-2CAF-4B57-8B69-686691E7ACAA};;6.937009335;43.51330185
3202;;Bac aérien avec cache bac;660 L;3;Plastic Omnium;;Résidence les terrasses de saint honorat;;06138;;chpayet;20200102131948;chpayet;20200102131948;{449AE0D0-B256-49C2-84F7-87F4248CA3CC};;6.941518307;43.49053955
2003;;Bac aérien sans cache bac;660 L;1;Plastic Omnium;;Prince des iles;;06138;;chpayet;20191204084630;chpayet;20191204084630;{FED2233C-9710-40F1-ACF4-58134F0BB9FE};;6.937398434;43.50917053
2004;;Bac aérien sans cache bac;660 L;1;Plastic Omnium;;Avenue de lerins trottoir de l eglise;;06138;;chpayet;20191204085306;chpayet;20191204085306;{058DC0AE-423C-4FEB-8D30-D4C113428CD8};;6.938352585;43.50808716
2005;;Bac aérien sans cache bac;660 L;1;Plastic Omnium;;Avenue de lerins angle traverse magasin souvenirs;;06138;;chpayet;20191204090036;chpayet;20191204090036;{53D62EB0-B046-4D5D-B636-94646AC984AA};;6.940555573;43.50768661
2007;660051915 / 660050415;Bac aérien sans cache bac;660 L;2;Contenur;;Chemin du débarcadère ;;06138;;chpayet;20191204091720;chpayet;20191204091720;{82C7C496-B6B1-453A-B80C-0DAE42D55C04};;6.94238615;43.50693893
2803;660051615;Bac aérien sans cache bac;660 L;1;Contenur;;17 avenue de Provence ;;06138;;chpayet;20191211081045;chpayet;20191211081045;{E1A1D903-433E-47A8-BB2E-0BCA7BE7F61E};;6.935194016;43.50863266
2008;;Bac aérien sans cache bac;660 L;1;Plastic Omnium;;13 jb pastor;;06138;;chpayet;20191204093429;chpayet;20191204093617;{F99EABC7-5945-4C61-94AA-CCB3E9FB8659};;6.938827038;43.50522995
2009;660052715;Bac aérien sans cache bac;660 L;1;Contenur;;Parking vallon l autelgy;;06138;;chpayet;20191204095852;chpayet;20191204095928;{54A6D6C6-A696-4AF9-8D4D-7A2AF7EDD682};;6.937232494;43.50342941
2402;660016917;Bac aérien avec cache bac;660 L;1;Contenur;;Rue de lerins plage maurin;;06138;;chpayet;20191206082757;chpayet;20191206082757;{7CB78388-F3B8-4C7F-82DC-DD1BE66783D0};;6.937113762;43.51483917
2403;660201419;Bac aérien avec cache bac;660 L;1;Contenur;;Rue du sanglier;;06138;;chpayet;20191206083719;chpayet;20191206083719;{B1692B27-E972-4480-BA4C-5541B82A85B3};;6.940507412;43.50536728
2404;C054;Bac aérien sans cache bac;660 L;1;Citec;;32 avenue corniche d or;;06138;;chpayet;20191206084101;chpayet;20191206084305;{2158718C-2D4D-4FEF-B45F-BC2FC5445837};;6.94370079;43.50608444
2405;C 056 / c 055;Bac aérien avec cache bac;660 L;2;Plastic Omnium;;Avenue corniche d or;;06138;;chpayet;20191206084749;chpayet;20191206084749;{F5E9F8AB-8A52-4823-8C64-BBDD1B05AA42};;6.950307369;43.50491714
2406;;Bac aérien sans cache bac;750 L;1;Plastic Omnium;;Avenue corniche d or;Face restaurant l air du temps;06138;;chpayet;20191206085706;chpayet;20191206085706;{F409465F-2340-4EEA-A7E2-0EEEF56BF084};;6.953064919;43.50130844
2407;;Bac aérien sans cache bac;660 L;1;Contenur;;Avenue corniche d or;Face restaurant l air du temps ;06138;;chpayet;20191206085818;chpayet;20191206085818;{E5FFDEDB-2F25-4E7F-8736-FE3F78ECE3F7};;6.9530797;43.50128937
2408;C083;Bac aérien avec cache bac;660 L;1;Plastic Omnium;;37 avenue miramar ;;06138;;chpayet;20191206091045;chpayet;20191206091045;{0BB0268B-C1ED-4DEE-A617-14A264408FD4};;6.941088676;43.48666763
2409;6601901442;Bac aérien avec cache bac;660 L;1;Contenur;;Corniche avenue miramar ;;06138;;chpayet;20191206091414;chpayet;20191206091414;{CE483A52-390B-43BE-A409-01F1A65DBBB1};;6.941562653;43.48652267
2410;;Bac aérien sans cache bac;660 L;2;Plastic Omnium;;Avenue miramar ;Proche port figueirette;06138;;chpayet;20191206092153;chpayet;20191206092153;{34B806E5-FF13-4F8B-A091-DC71830D7EFB};;6.931451797;43.48450851
2411;;Bac aérien sans cache bac;240 L;1;Plastic Omnium;;Avenue miramar ;Proche port figueirette ;06138;;chpayet;20191206092313;chpayet;20191206092313;{4A502D36-C145-4FC7-AB1B-7A52728B9104};;6.931437969;43.48450851
2804;C 004;Bac aérien sans cache bac;660 L;1;Plastic Omnium;;Avenue de Provence ;;06138;;chpayet;20191211081530;chpayet;20191211081530;{9C3245C8-34FD-483A-B1E5-FB28CFA759D9};;6.934546947;43.50960541
2412;660009218,6601801328,c110;Bac aérien avec cache bac;660 L;3; ;;16 avenue du trayas;;06138;;chpayet;20191206094139;chpayet;20191206094139;{85FCBB7E-829C-4A12-8C9F-26864FFA595C};;6.929890633;43.4840889
2413;6601801329,c107,660007618;Bac aérien avec cache bac;660 L;3;Contenur;;16 avenue du trayas;Or parking face restaurant matipi;06138;;chpayet;20191206094453;chpayet;20191206094453;{14E7D265-B53C-4F0C-A93C-833632A5A553};;6.929903984;43.48402786
