objectid;id;type;volume;quantite;marque;date_instal;adresse;adresse_comp;code_insee;observations;accessibilite;creation;date_creation;modification;date_modification;globalid;etat;_x;_y
1202;6601902190;Bac aérien sans cache bac;660 L;1; ;;Gare tsm;;06138;;;chpayet;20191204083647;chpayet;20191204083647;{0BF5EDFF-B6EC-4A9B-9A85-D5C43F338FFF};;6.936994076;43.51330185
1203;6601902012;Bac aérien sans cache bac;660 L;1;Contenur;;Prince des iles;;06138;;;chpayet;20191204084515;chpayet;20191204084515;{CBC5605B-2FC8-4F3F-BC2D-FF846415E9D7};;6.937347889;43.5091362
1204;6601901994;Bac aérien sans cache bac;660 L;1;Contenur;;Eglise trottoir château avenue de lerins;;06138;;;chpayet;20191204085152;chpayet;20191204085152;{EA97EB92-2BC7-4B8C-93A4-3DD0C6860CD5};;6.938403606;43.50807571
1205;6601901971;Bac aérien sans cache bac; ;1;Contenur;;Avenue de lerins angle traverse magasin souvenir;;06138;;;chpayet;20191204085827;chpayet;20191204085827;{4A1D509F-70AF-476A-9436-9A0BDC2B9903};;6.940568924;43.50771713
1206;6601902153;Bac aérien sans cache bac;660 L;1;Contenur;;Avenue montrer résidence aquarella ;;06138;;;chpayet;20191204090411;chpayet;20191204090411;{6F6BE0FD-DB47-4034-8D38-2193ABE495AA};;6.9406991;43.50758362
1207;6601902329 / 6601902324;Bac aérien sans cache bac;660 L;2;Contenur;;Chemin du débarcadère ;;06138;;;chpayet;20191204091238;chpayet;20191204091420;{94AEC5C1-0293-4DFF-9BD7-987E6461DA7B};;6.942280769;43.50706482
1208;6601902331 / 6601902354;Bac aérien sans cache bac;660 L;2;Contenur;;Parking Marco polo avenue de lerins;;06138;;;chpayet;20191204092249;chpayet;20191204092249;{10559124-6846-46E1-8CCD-637E53F07F86};;6.941684723;43.50774002
1209;6601901967;Bac aérien sans cache bac;660 L;1;Contenur;;13 jb pastor résidence riviera;;06138;;;chpayet;20191204093309;chpayet;20191204093309;{1693412B-1878-4060-B367-56360ECF6462};;6.93883276;43.50529099
1210;6601901968;Bac aérien sans cache bac;660 L;1;Contenur;;Rue jb pastor;;06138;;;chpayet;20191204094446;chpayet;20191204094446;{CB811187-7FE9-4271-9182-2109B1D25477};;6.938245773;43.50440598
1211;;Colonne aérienne;4 m3;1;Plastic Omnium;;Parking vallon l autelgy;;06138;;;chpayet;20191204095507;chpayet;20191204095507;{45BB74DD-0912-4B11-A531-59BCA7D97F75};;6.93721056;43.503479
1212;;Colonne aérienne;3 m3;2;Plastic Omnium;;Parking du vallon l autelgy;;06138;;;chpayet;20191204095723;chpayet;20191204095723;{51140C51-43D7-4B98-B3E7-5AFE05510844};;6.937191963;43.50343704
1601;6601902149;Bac aérien sans cache bac; ;1;Contenur;;Rue du sanglier;;06138;;;chpayet;20191206083601;chpayet;20191206083601;{18A21742-B694-419A-B1E5-878C3468DB18};;6.940382004;43.50540161
1602;6601901954;Bac aérien sans cache bac;660 L;1;Contenur;;32 avenue corniche d or;;06138;;;chpayet;20191206084227;chpayet;20191206084227;{8566583C-61D9-40D6-84CC-109CB683039B};;6.94370842;43.50601959
1201;660 19 02019;Bac aérien sans cache bac;660 L;1;Contenur;;Avenue de lerins;Sur corniche plage maurin;06138;;;chpayet;20191204083212;chpayet;20191205103948;{F4C3390D-DD5E-4575-BD44-AB0C602E6B43};;6.937114239;43.51486588
2401;;Bac aérien avec cache bac;340 L;2;Contenur;;Résidence les terrasses de saint honorat;;06138;;;chpayet;20200102132405;chpayet;20200102132405;{6C8B4007-468E-4FB8-8D64-DF6A66C22239};;6.941510677;43.49055481
2402;;Bac aérien sans cache bac;240 L;1;Contenur;;39 bd de l esterel;;06138;;;chpayet;20200102133000;chpayet;20200102133000;{8DBE8A2C-28B6-4365-B299-C50E2CA27B01};;6.942973137;43.48828125
2006;6601902325;Bac aérien sans cache bac;660 L;1;Contenur;;1992 avenue du midi;;06138;;;chpayet;20191211082802;chpayet;20191211082924;{9EFCDA18-4ECB-4027-AD3A-BFAC1C12788A};;6.934700489;43.50695038
2007;6601902333;Bac aérien sans cache bac;660 L;1;Contenur;;Avenue du Languedoc ;;06138;;;chpayet;20191211083419;chpayet;20191211083419;{97014156-2636-420A-8C77-49569ADB77F5};;6.937031746;43.50790405
2008;6601902154;Bac aérien sans cache bac;660 L;1;Contenur;;Avenue montier;;06138;;;chpayet;20191211085112;chpayet;20191211085112;{17DDA2DE-7A5A-49EA-B82D-7910C9A193B9};;6.93867445;43.50550461
2009;6601902186;Bac aérien sans cache bac;660 L;1;Contenur;;24 avenue montier;;06138;;;chpayet;20191211085605;chpayet;20191211085605;{175835BD-D461-408F-866C-896179B572C7};;6.938620567;43.50615692
2010;6601902187;Bac aérien sans cache bac;660 L;1;Contenur;;Avenue montier;Face ecole;06138;;;chpayet;20191211085954;chpayet;20191211085954;{94930C7E-04CF-47F8-8A9E-F16FBAE43BCE};;6.93909359;43.50663757
2011;6601902172;Bac aérien sans cache bac;660 L;1;Contenur;;Rue de la source;;06138;;;chpayet;20191211093059;chpayet;20191211093059;{745A743C-9E3E-4431-9840-4755AB890AE6};;6.947260857;43.5049057
2012;6601902151/6601902150;Bac aérien sans cache bac;660 L;2;Contenur;;10 rue de la source;;06138;;;chpayet;20191211093506;chpayet;20191211093506;{EED09B42-9F61-4591-B422-15756E928E31};;6.943040848;43.506073
2013;6601902200;Bac aérien sans cache bac;660 L;1;Contenur;;Allée des pins;;06138;;;chpayet;20191211094250;chpayet;20191211094250;{7A2D3722-E3EC-4C9A-B6EA-3B1AAF391F42};;6.949840069;43.50445557
1603;6601901963;Bac aérien sans cache bac;660 L;1;Contenur;;Avenue corniche d or;;06138;;;chpayet;20191206084605;chpayet;20191206084605;{D35DA3DE-E260-4D4E-9A71-42B77223B51C};;6.950310707;43.50497437
2403;;Bac aérien avec cache bac;340 L;1;Contenur;;Avenue fragonard;;06138;;;chpayet;20200102133623;chpayet;20200102133623;{F8DF2516-1560-40B2-8211-DAF5F2CA0E6E};;6.9438591;43.48744202
1604;1901955/1902353/1902352;Bac aérien sans cache bac;660 L;3;Contenur;;Avenue corniche d or;Face restaurant l air du temps;06138;;;chpayet;20191206085338;chpayet;20191206085338;{6567119A-A2D8-4E5A-A19D-79D1A24E8C8E};;6.953102112;43.50134277
1605;6601901966;Bac aérien sans cache bac;660 L;1;Contenur;;Avenue corniche d or;Face restaurant l air du temps;06138;;;chpayet;20191206085509;chpayet;20191206085509;{0C326433-76CC-44BF-B17F-2A6BEAC416E0};;6.95310545;43.50130844
1606;;Colonne aérienne; ;1;Plastic Omnium;;37 avenue miramar;;06138;;;chpayet;20191206090811;chpayet;20191206090811;{61E9863A-23C4-4EA2-A353-BB3876F9A790};;6.941048145;43.48664856
1607;6601902216;Bac aérien sans cache bac;660 L;1; ;;37 avenue miramar ;;06138;;;chpayet;20191206090918;chpayet;20191206090918;{AEB57920-27D5-4511-ADDA-6FCC24C37686};;6.941064358;43.48665619
1608;6601902169;Bac aérien sans cache bac;660 L;1;Contenur;;Corniche avenue miramar ;;06138;;;chpayet;20191206091242;chpayet;20191206091242;{69783F79-1814-40FC-A4DF-08E27ED706A5};;6.941554546;43.48651886
