objectid;id;type;volume;quantite;marque;date_instal;adresse;adresse_comp;code_insee;observations;accessibilite;creation;date_creation;modification;date_modification;globalid;etat;_x;_y
801;;Colonne aérienne;2 m3;1;Plastic Omnium;;Parking vallon de l autelgy;;06138;;;chpayet;20191204095255;chpayet;20191204095255;{8C8A3146-8C8C-42B1-A448-EE103992E272};;6.937227726;43.50346756
3601;;PAV cuve enterrée;3 m3;1;Contenur;;Rue massena;;06029;;;chpayet;20200205083327;chpayet;20200205083327;{2066B095-8486-432C-8663-0B36B4C81159};;7.01705265;43.5646019
1201;;Colonne aérienne;4 m3;1;Plastic Omnium;;37 avenue miramar;;06138;;;chpayet;20191206090657;chpayet;20191206090657;{85771445-84A5-4946-BD65-E9F2CB95A7CA};;6.941038132;43.48668671
1601;;PAV cuve enterrée;4 m3;1; ;;Parking jean aulas;;06079;;;chpayet;20200107144907;chpayet;20200107151944;{BB3F959C-2915-455B-8665-C1958EC20BEE};;6.940707684;43.52338791
1202;;Colonne aérienne;2 m3;1;Plastic Omnium;;16 avenue du treyas;Parking face restaurant matipi;06138;;;chpayet;20191206092934;chpayet;20191206093820;{7BDBEF7C-741B-4EA2-83F8-B8C3222377DC};;6.92994833;43.48410034
3602;;PAV cuve enterrée;3 m3;1;Contenur;;1 avenue du prado;;06029;;;chpayet;20200205085531;chpayet;20200205085531;{A6803266-3BD7-436A-8727-58BD84C7EB7E};;7.022439003;43.55788422
1203;;Colonne aérienne;4 m3;1;Plastic Omnium;;Port figueirette ;;06138;;;chpayet;20191206100945;chpayet;20191206100945;{D9D93078-A1B2-462E-9BFF-5A0598E005B4};;6.934196472;43.48504257
2001;;Colonne aérienne;3 m3;2;Plastic Omnium;;Parking bon puits;;06079;;;chpayet;20200109131049;chpayet;20200109131049;{457C7846-6A28-4CBA-B814-8D7BD538CF36};;6.932461262;43.52248001
1204;;Colonne aérienne;4 m3;1;Plastic Omnium;;Boulevard l esquillon;Beach hotel;06138;;;chpayet;20191206102219;chpayet;20191206102219;{5BC3348A-B00C-482C-8AC9-6A9C4016A934};;6.937729836;43.48563766
1205;;Colonne aérienne;2 m3;2;Plastic Omnium;;Avenue de la côte d azur;A côté du snack;06138;;;chpayet;20191206104445;chpayet;20191206104445;{3EC873BD-C98B-46CD-AEAB-9AB7BE498853};;6.945009708;43.49371338
2002;;PAV cuve enterrée;4 m3;1; ;;Place de provence;;06079;;;chpayet;20200109133806;chpayet;20200109133806;{D0A7BC88-1178-4D57-9DC0-DCB31FA6A0F1};;6.927899361;43.52871704
3603;;PAV cuve enterrée;3 m3;1;Contenur;;2 avenue isola bella;;06029;;;chpayet;20200205091348;chpayet;20200205091348;{B25C8F92-6E04-4C9D-A4B2-4E53D6DC0DE2};;7.024412155;43.55604935
2003;;PAV cuve enterrée;4 m3;1; ;;Place de Provence ;;06079;;;chpayet;20200109134011;chpayet;20200109134011;{83093452-9E4C-40B1-93DC-71685B53EEF9};;6.927633762;43.52838516
2004;;Colonne aérienne;3 m3;1;Plastic Omnium;;Rue Yves brayer;;06079;;;chpayet;20200109135958;chpayet;20200109140302;{86E2348D-C1FA-4F6E-B5E4-9DBA4997B2E7};;6.919299603;43.52455139
2005;;PAV cuve enterrée;4 m3;1; ;;Avenue Robert schuman;;06079;;;chpayet;20200109142650;chpayet;20200109142650;{DDA78DC1-F178-4F3D-BC26-4F918D8527FC};;6.924761295;43.54042816
3604;;PAV cuve enterrée;3 m3;1;Contenur;;14 avenue mont fleury;;06029;;;chpayet;20200205092232;chpayet;20200205092232;{56295196-00D5-4E00-A329-69FC565D21D2};;7.02808857;43.55530548
2006;;Colonne aérienne;3 m3;1; ;;Avenue Robert Schuman ;;06079;;;chpayet;20200109143304;chpayet;20200109143304;{82033326-658A-4294-AE25-6AF6C2625AB9};;6.917920113;43.53896713
2007;;PAV cuve enterrée;4 m3;1; ;;Avenue de l europe;;06079;;;chpayet;20200109144507;chpayet;20200109144507;{D69A9F7A-F697-4D2E-B937-476CA79D5AD9};;6.923762321;43.5363121
3605;;PAV cuve enterrée;3 m3;1;Contenur;;Rue volta;;06029;;;chpayet;20200205092710;chpayet;20200205092710;{932DAD2E-FBC6-41C0-B9EC-9B5A247CE592};;7.029294968;43.55267334
2401;;PAV cuve enterrée;3 m3;1; ;;Rue Félix faure;;06029;;;chpayet;20200128085509;chpayet;20200128085509;{ADDA617C-F1F7-4EB1-96F0-2290E54FCA24};;7.014487743;43.55203629
2402;;PAV cuve enterrée;4 m3;1;Contenur;;Marché forville ;;06029;;;chpayet;20200128091739;chpayet;20200128091739;{6C169627-9EB4-487B-B069-4875EC88A119};;7.011583805;43.5521698
3606;;Colonne aérienne;2 m3;1;;;32 boulevard de lorraine;;06029;Cliiink ;;chpayet;20200205093613;chpayet;20200205093613;{44EB09E9-AB65-4ACC-8685-BB111FCE8242};;7.027551174;43.55299759
2403;;Colonne aérienne;2 m3;1; ;;Rue Louis Blanc ;;06029;Cliiink;Oui;chpayet;20200128092519;chpayet;20200128092519;{1B25A481-FA71-4110-B3A3-80E990577707};;7.012897491;43.55267715
2801;;Colonne aérienne;2 m3;1; ;;24 boulevard de l esterel;;06029;;;chpayet;20200129144036;chpayet;20200129144036;{B05CDFF3-7C23-48DF-9576-861628DC061A};;6.971589088;43.55853653
3607;;Colonne aérienne;3 m3;1; ;;Boulevard de lorraine ;;06029;;;chpayet;20200205094535;chpayet;20200205094535;{8AA36163-449A-403D-9E3B-7FDEF507BF94};;7.025373936;43.55367661
3201;;Colonne aérienne;2 m3;1;Plastic Omnium;;11 avenue de grasse;Face parking vauban;06029;;;chpayet;20200130102346;chpayet;20200130102346;{D3D723CF-D370-4923-914A-2D8A020E56A4};;7.016042709;43.55464554
3202;;PAV cuve enterrée;3 m3;1;Contenur;;Place Gérard phillipe;;06029;;;chpayet;20200130103813;chpayet;20200130103813;{7811EAEB-E487-430E-AFF0-AF92C68ED45B};;7.016216278;43.55596542
3608;;Colonne aérienne;2 m3;1; ;;1 rue de lerins;;06029;Cliiink ;;chpayet;20200205101056;chpayet;20200205101056;{13422586-12A7-4648-A89C-5FD30B8CF394};;7.026492119;43.55155563
3203;;PAV cuve enterrée;4 m3;2; ;;Avenue maréchal Gallieni ;;06029;;;chpayet;20200130110336;chpayet;20200130110336;{22F0DB70-ABA9-4E50-8648-A04E99658DB9};;7.017816067;43.55739975
