attachmentid;rel_globalid;content_type;att_name;data_size;globalid
1;{8C8A3146-8C8C-42B1-A448-EE103992E272};image/jpeg;Photo1.jpg;346729;{F8878193-3731-418C-A917-088953C06991}
401;{85771445-84A5-4946-BD65-E9F2CB95A7CA};image/jpeg;Photo1.jpg;418338;{6791601E-D632-4DC6-B487-BC31DA046EAD}
402;{7BDBEF7C-741B-4EA2-83F8-B8C3222377DC};image/jpeg;Photo1.jpg;307261;{3772227A-96FE-4069-AC55-8CE64E9E1FA2}
403;{D9D93078-A1B2-462E-9BFF-5A0598E005B4};image/jpeg;Photo1.jpg;333005;{3D7DD63E-9472-4FD9-AC91-3739B0DE6728}
404;{5BC3348A-B00C-482C-8AC9-6A9C4016A934};image/jpeg;Photo1.jpg;373578;{4CF74C0C-7270-453E-A867-65FCD8587D37}
405;{3EC873BD-C98B-46CD-AEAB-9AB7BE498853};image/jpeg;Photo1.jpg;267069;{052A3097-F599-4E37-84DA-63D77E5A6DA8}
801;{BB3F959C-2915-455B-8665-C1958EC20BEE};image/jpeg;Photo1.jpg;403772;{F63570A5-2DF0-4FA5-B68D-7380CD49903B}
1201;{457C7846-6A28-4CBA-B814-8D7BD538CF36};image/jpeg;Photo1.jpg;563664;{BF0728E9-86D3-4768-A719-8ABD8616A8A8}
1202;{D0A7BC88-1178-4D57-9DC0-DCB31FA6A0F1};image/jpeg;Photo1.jpg;470143;{A0C7E8CE-B5AF-4F1C-8BE5-97D12FC0DDE9}
1203;{83093452-9E4C-40B1-93DC-71685B53EEF9};image/jpeg;Photo1.jpg;434398;{EB31AB43-19E4-44C7-9D6D-3449365100F2}
1204;{86E2348D-C1FA-4F6E-B5E4-9DBA4997B2E7};image/jpeg;Photo1.jpg;222916;{F426DF13-7A16-4744-BCA9-A7CA5AE4FD82}
1205;{DDA78DC1-F178-4F3D-BC26-4F918D8527FC};image/jpeg;Photo1.jpg;476565;{9EBF83E2-C28C-4960-BFB0-2549F8D550DB}
1206;{82033326-658A-4294-AE25-6AF6C2625AB9};image/jpeg;Photo1.jpg;393437;{027F037C-E496-428A-94B5-FF68306739F7}
