objectid;id;quantite;date_instal;adresse;adresse_comp;code_insee;observations;creation;date_creation;modification;date_modification;globalid;etat;_x;_y
401;Kfb ;1;;Jb pastor ;;06138;;chpayet;20191204094617;chpayet;20191204094617;{2525224C-A21B-44BB-9899-4F6EEC9F5A16};;6.93820715;43.50441742
801;;1;;Place saint feneant;;06079;;chpayet;20200107145050;chpayet;20200107145050;{C94FC7C5-FF62-4A58-8A07-CF4E12AE8E7C};;6.940886497;43.52313614
2001;;1;;14 boulevard mont fleury;;06029;;chpayet;20200205091833;chpayet;20200205091833;{C7DA2614-E06A-4CE2-A527-D70DADA2056E};;7.028258324;43.5551796
1201;;1;;Parking bon puits;;06079;;chpayet;20200109130612;chpayet;20200109130612;{6568BAEC-1E62-49C0-B1BF-E90C93E5353C};;6.932432652;43.52252197
1601;;1;;Rue cite jardin;;06030;;chpayet;20200130134611;chpayet;20200130134611;{E79685C0-DF72-4ACC-B027-993EA6424AE8};;6.998100281;43.57663727
2002;;1;;1 rue de lerins;;06029;;chpayet;20200205100939;chpayet;20200205100939;{8C6EF256-E4CB-4D42-83BC-001A0276D389};;7.02652359;43.55144119
1602;;1;;Avenue lacour;Face police municipale ;06030;;chpayet;20200130141553;chpayet;20200130141553;{01F4A89D-62FD-4E87-97F1-4E5EB8467D50};;7.01899147;43.56890869
1603;;1;;Avenue m'ont joli;;06030;;chpayet;20200130145722;chpayet;20200130145722;{F3E7C1F5-DA4E-466D-80DF-20A10143BA8A};;7.009675026;43.58085632
2401;;1;;31 rue pont saint victor;;06029;;chpayet;20200210083037;chpayet;20200210083111;{473F1B93-CA15-4933-A886-1BF1F5F41115};;7.004615307;43.55667496
2402;;1;;Rue Beaulieu ;;06029;;chpayet;20200210103738;chpayet;20200210103738;{229BB5DF-8972-44B9-9CA0-2CF55DA3E9FA};;7.007277489;43.56072998
2801;;1;;22 rue Jean nobles;;06029;;chpayet;20200211130338;chpayet;20200211130338;{9EC52640-BDE8-455E-B15E-85B9BDD7D4BF};;7.010645866;43.55810928
2802;;1;;Avenue des broussailles ;;06029;;chpayet;20200211133151;chpayet;20200211133151;{6D02B4DD-7532-4808-9830-6BEFE2E7DC10};;7.005119801;43.56229401
2803;;1;;261 avenue de grasse;;06029;;chpayet;20200211133645;chpayet;20200211133645;{7C7DC63E-48F5-492D-8BE6-3D4C0BFD08A2};;7.003236771;43.56340027
2804;;3;;36 avenue du grand jas;;06029;;chpayet;20200211134506;chpayet;20200211134506;{3466E2A8-45CC-45F6-A512-19093B24292B};;7.001611233;43.56209183
3201;;1;;12 bd d Alsace ;;06029;;chpayet;20200212084626;chpayet;20200212084626;{80C5B502-5709-4653-8586-A8E9FC619B38};;7.020213604;43.55445099
3202;;1;;Pointe croisette;;06029;;chpayet;20200212094717;chpayet;20200212094717;{CB34E864-F688-4B1A-9462-3EE61E1B7702};;7.03669405;43.53714752
3601;;1;;6 avenue du camp long;;06029;;chpayet;20200213084114;chpayet;20200213084114;{78A86E9B-9C7C-474B-878D-3DC42358BFE8};;7.020933151;43.5629158
3602;;2;;53 avenue Michel Jourdan ;;06029;;chpayet;20200213124149;chpayet;20200213124149;{F29EC0E3-8DCF-4B3A-AE4D-26E8D255DCA0};;6.97450304;43.55321884
3603;;1;;Avenue du vercors;;06029;;chpayet;20200213124502;chpayet;20200213124502;{AD4317E6-FB71-4ABE-8C4A-630E207266D8};;6.973259926;43.55498886
3604;;1;;Avenue Maurice chevalier ;Face palais des victoires ;;;chpayet;20200213125458;chpayet;20200213125458;{20AC6A52-5E3F-4640-9D2F-10E0935BE33E};;6.961508274;43.55145645
4001;;1;;6 boulevard leader;;06029;;chpayet;20200218135112;chpayet;20200218135112;{106F9741-13A3-406F-96E8-DB3D210C484F};;6.993853569;43.54950333
4002;;1;;2 avenue Francis tonner;;06029;;chpayet;20200218142940;chpayet;20200218142940;{8994971C-1D09-4E5E-80BE-8D01C1D386EF};;6.984244823;43.5492897
4401;;2;;Chemin de campane;;06085;;chpayet;20200220081738;chpayet;20200220081738;{A0A06658-9CD7-45CD-8737-53AFC7237030};;6.99849844;43.58771133
4402;;1;;763 chemin des cabrieres;;06085;;chpayet;20200220082755;chpayet;20200220082755;{DDEEC42F-FE33-434A-AF41-8766E4B22088};;6.988257885;43.58333588
6001;;3;;Avenue de la roubine;;06029;;chpayet;20200505071020;chpayet;20200505071020;{58D8DBE4-F3B9-469A-A4A6-626E35DE5224};;6.971782684;43.54775238
5201;;1;;Chemin bastide rouge;;06029;;chpayet;20200417073057;chpayet;20200417073057;{9C463B41-5184-4306-B1DA-0040B762D324};;6.95609045;43.55327606
7203;;1;;Rue basse;;06085;;chpayet;20200602132043;chpayet;20200602132043;{D71D88F5-7E29-4567-9F43-97A614C1D2E7};;7.041400909;43.58896637
5202;;1;;2 chemin des vallons;;06030;;chpayet;20200417084937;chpayet;20200417084937;{786A84FA-F886-4CB0-8B4F-625CB33CB43A};;6.972627163;43.56879044
10404;;1;;Avenue du riou;;06079;;chpayet;20200817093326;chpayet;20200817093326;{67D0FB35-5EE5-42A9-A4C9-4ECA1E0447A8};Existant;6.942036152;43.52826309
6002;;2;;Allée Jacques cartier;;06079;;chpayet;20200505085948;chpayet;20200505085948;{97FB9478-4C41-409E-91BA-121C1BD3FDAE};;6.93509388;43.5317688
4801;;1;;Parking cimetiere du claus;;06030;;chpayet;20200310095301;chpayet;20200417085700;{C87A2083-70A9-43A8-B095-63BF0614BA1C};;6.986413002;43.57457733
6003;;2;;Rue de la siagne;;06079;;chpayet;20200505094451;chpayet;20200505094451;{ED483AFF-6832-44C8-BF6F-626ED7C33769};;6.938784122;43.54068756
6401;;1;;Boulevard de perrier;;06029;;chpayet;20200507065520;chpayet;20200507065520;{10567F11-64FE-4BA5-B1E2-E8E85BC0811A};;6.996337414;43.5657196
6402;;1;;58 route des breguieres ;;06030;;chpayet;20200507080147;chpayet;20200507080147;{60239E85-2EC5-4ACB-899F-60F29E049433};;7.024115086;43.58336639
6403;;1;;24 avenue roi Albert 1er;;06029;;chpayet;20200507102708;chpayet;20200507102708;{CF0AE9F9-54E8-4487-8363-47029CB7B17A};;7.03947258;43.55146408
5204;;2;;Chemin des gourguettes;;06029;;chpayet;20200417100121;chpayet;20200417100121;{60BA576B-79B7-4E71-8477-C4783595ACE9};;6.959518909;43.57154846
5205;;1;;63 avenue de vallauris ;;06029;;chpayet;20200417114646;chpayet;20200417114646;{703370E1-F623-4D42-9091-92236513C5F0};;7.032149792;43.55930328
5601;;1;;80 boulevard leader;;06029;;chpayet;20200429071137;chpayet;20200429071137;{23824E68-2073-466B-BDEF-8BAF26BDBBE5};;6.99002409;43.55505753
5602;;1;;Boulevard du riou parking bergia;;06029;;chpayet;20200429072513;chpayet;20200429072513;{98062A04-F6BA-4E19-A6C8-7C5052D6118A};;7.005821228;43.55265045
5603;;1;;Avenue font roubert;;06085;;chpayet;20200429101043;chpayet;20200429101043;{5A6CE027-D450-4684-9A75-A48235C33C60};;7.001580238;43.60465622
5604;;1;;Chemin de la grande bastide;;06085;;chpayet;20200429103519;chpayet;20200429103519;{43AE40F3-5309-4634-BB25-8AB8A768D486};;6.990386486;43.59027863
5605;;1;;Chemin du moulin;;06085;;chpayet;20200429105818;chpayet;20200429105818;{675DEAD2-42A9-4FC3-9C54-403F722CDA4B};;6.999972343;43.5920639
9204;;1;;Avenue de la république ;;06079;;chpayet;20200721130859;chpayet;20200721130859;{98FCD377-1689-4949-8DBE-BDB5DAD0F1C4};;6.933147907;43.54144287
6803;;1;;20 avenue du golf;;06085;;chpayet;20200514081855;chpayet;20200514081910;{D1D5E9B9-08E0-4710-B3FD-119701272DA3};;7.008397102;43.60448074
7603;;1;;Avenue troubadour ;;06029;;chpayet;20200611135851;chpayet;20200611135851;{7AB01869-66CD-47EE-A99A-E2609D3D5A58};;6.968695164;43.55394745
6804;;1;;615 avenue Maurice donat;;06085;École mougins school;chpayet;20200514084244;chpayet;20200514084244;{456AA2A8-920C-4712-88F7-0E116FF993C5};;7.01445961;43.61248398
9604;;1;;Déchèterie du cannet;Traverse de l aubarede;;;chpayet;20200723092443;chpayet;20200723092443;{8A619D9D-52FF-453B-A1E1-043DE80F5DA0};;6.984167576;43.56700516
8003;;1;;Place du souvenir français ;;06079;;chpayet;20200618132517;chpayet;20200618132517;{EB2F5D1F-2FF1-410E-B886-3404489A49B7};;6.937307358;43.55519104
8403;;1;;Allée pierre de Coubertin ;;06085;;chpayet;20200622133958;chpayet;20200622133958;{7DD041B1-26D5-42D5-809B-D66E48670EC6};;7.015605927;43.6096344
8404;;1;;Chemin de font de currault;;06085;;chpayet;20200622135402;chpayet;20200622135402;{FC9B3435-17BD-4845-86D4-5DB53E47E260};;7.032454967;43.59142303
10405;;1;;12 avenue de benefiat;;06029;;chpayet;20200817120956;chpayet;20200817120956;{34164E31-E891-40A4-9611-C89E7E4B4892};;7.029186726;43.55974579
10804;;1;;Parking port moure rouge;;06029;;chpayet;20200825074858;chpayet;20200825074858;{42577225-6C56-4972-B140-25C5FABB96B5};;7.042581081;43.54349899
10004;;1;;Square carnot;Rue massena;06029;;chpayet;20200727090012;chpayet;20200727090044;{85CE2FF3-9746-47B1-846D-3C1E9973DFAA};;7.017036438;43.5645752
8804;;1;;12 boulevard d oxford;;06029;;chpayet;20200624091450;chpayet;20200624091450;{AA9D205F-9D22-49F8-A788-CBE783E989CE};;7.023770332;43.56444168
8805;;1;;Avenue commandant bret;;06029;;chpayet;20200624091915;chpayet;20200624091915;{8AF0E8D8-E0B3-490B-8961-A6DCEF1F0F31};;7.024920464;43.5627861
8803;;1;;Avenue petite colline ;;06085;;chpayet;20200623063103;chpayet;20200727092022;{544B2F6C-9883-4451-A34D-E9A02A804119};;7.041608334;43.59097672
5203;;1;;1102 avenue du maréchal juin;;06085;;chpayet;20200417091149;chpayet;20200727093453;{9CD34D6C-3542-4109-82C2-C02A0340B019};;6.993928432;43.59137344
10005;;1;;Chemin de la plaine;;06085;;chpayet;20200727121801;chpayet;20200727121801;{EF825DB5-6E4C-41FE-98B1-A1D910135369};;6.970298767;43.60224533
10006;;1;;Chemin du refuge;;06085;;chpayet;20200727123503;chpayet;20200727123503;{D84F19EA-875D-4778-B290-F634F6C4514A};;6.992376328;43.58101273
4803;;3;;Avenue lamartine;;06085;;chpayet;20200310095922;chpayet;20200727123949;{EFBAFBA0-0480-4340-B500-F47140DB6A2F};;6.984992027;43.57439423
10007;;1;;Chemin de coudouron;Déchèterie ;06085;;chpayet;20200727125911;chpayet;20200727125911;{8708629A-385D-44FF-8DB6-CDD4302B824B};;6.964497566;43.5815506
