attachmentid;rel_globalid;content_type;att_name;data_size;globalid
1;{2525224C-A21B-44BB-9899-4F6EEC9F5A16};image/jpeg;Photo1.jpg;447123;{A4927155-A49A-493A-B6EC-3CA6100EC077}
401;{C94FC7C5-FF62-4A58-8A07-CF4E12AE8E7C};image/jpeg;Photo1.jpg;518572;{E005A8AC-7E75-4C6E-9234-7EF6FC1DBE69}
801;{6568BAEC-1E62-49C0-B1BF-E90C93E5353C};image/jpeg;Photo1.jpg;314589;{20EEA903-A8CF-4E24-8472-CC2279627373}
1201;{E79685C0-DF72-4ACC-B027-993EA6424AE8};image/jpeg;Photo1.jpg;384545;{86AF5373-A438-46ED-AD79-6E60DD48EC1B}
1202;{01F4A89D-62FD-4E87-97F1-4E5EB8467D50};image/jpeg;Photo1.jpg;373196;{7D98E6D3-7417-4CEE-9C5E-DF95E437A2E0}
1203;{F3E7C1F5-DA4E-466D-80DF-20A10143BA8A};image/jpeg;Photo1.jpg;358329;{50F9ED61-BB0E-43CB-A255-635189ED29CA}
1601;{C7DA2614-E06A-4CE2-A527-D70DADA2056E};image/jpeg;Photo1.jpg;336218;{F785EEE9-3158-488E-A139-9DFBA10EE82A}
1602;{8C6EF256-E4CB-4D42-83BC-001A0276D389};image/jpeg;Photo1.jpg;301735;{E4FECCF4-2A7E-4492-B7F1-E968C0D6EE95}
2001;{473F1B93-CA15-4933-A886-1BF1F5F41115};image/jpeg;Photo1.jpg;468547;{67FEF11E-37F0-4279-B3D7-F84573943330}
2002;{229BB5DF-8972-44B9-9CA0-2CF55DA3E9FA};image/jpeg;Photo1.jpg;469246;{FDCA15B0-9F56-4F5A-97E8-AF013574705D}
2401;{9EC52640-BDE8-455E-B15E-85B9BDD7D4BF};image/jpeg;Photo1.jpg;392327;{511D7CC1-A325-4F20-8622-FEA472E68687}
2402;{6D02B4DD-7532-4808-9830-6BEFE2E7DC10};image/jpeg;Photo1.jpg;367991;{EB85F5A5-9D29-4929-A7CF-C1C64F8AD705}
2403;{7C7DC63E-48F5-492D-8BE6-3D4C0BFD08A2};image/jpeg;Photo1.jpg;288974;{1B4D404F-03F8-4518-BD51-61E259DD562D}
2404;{3466E2A8-45CC-45F6-A512-19093B24292B};image/jpeg;Photo1.jpg;457530;{87584D0B-1F2B-43B8-B082-B31085190FAD}
2801;{80C5B502-5709-4653-8586-A8E9FC619B38};image/jpeg;Photo1.jpg;330064;{20368A38-4419-45AE-982A-F8479D31A7A3}
2802;{CB34E864-F688-4B1A-9462-3EE61E1B7702};image/jpeg;Photo1.jpg;364750;{1630C911-9EEB-445E-837F-5B324B6051FD}
3201;{78A86E9B-9C7C-474B-878D-3DC42358BFE8};image/jpeg;Photo1.jpg;453347;{97B9F0A4-5997-4448-8D10-081BA61A498C}
3202;{F29EC0E3-8DCF-4B3A-AE4D-26E8D255DCA0};image/jpeg;Photo1.jpg;330618;{03BB809E-72B3-4721-BDBE-DD49D707756E}
